Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
10,COLD,LG,ADIDAS,0,11866.76,767,4972.47,0,11,2,4738,148,110,0.419025075,32666,1191
10,COLD,LG,CARTERS,1,14332.94,1732,3814.56,0,11,2,6248,292,133,0.266139396,46536,2163
10,COLD,LG,CHAPS,1,11518.92,874,2558.77,0,11,2,4938,158,89,0.222136277,42755,1333
10,COLD,LG,HURLEY - HAWK,1,3049.02,212,1281.12,0,11,2,0,0,61,0.420174351,10968,384
10,COLD,LG,JUMPING BEANS,1.5,55177.67,9058,26738.81,0,11,2,40620,2231,285,0.484594765,188328,10829
10,COLD,LG,JUMPING BEANS ACTIVE,1,11294.6,1219,5785.285,0,11,2,13168,520,133,0.5122169,29586,1369
10,COLD,LG,LEE DENIM,0,7972.79,543,2442.29,0,11,2,4200,150,25,0.306328149,19324,666
10,COLD,LG,LEVI DENIM,0.5,10597.27,513,4934.24,0,11,2,6690,167,29,0.465614257,26235.6,690
10,COLD,LG,LICENSED CHARACTER - JBD,1,33277.18,3530,15194.816,0,11,2,44932,1855,389,0.456613691,101106,4886
10,COLD,LG,NIKE,1.5,30538.04,1536,17835.45,0,11,2,17492,566,228,0.58404043,75858,2526
10,COLD,LG,OSHKOSH,0,11560.41,1094,2972.43,0,11,2,4184,151,113,0.257121503,41568,1508
10,COLD,LG,OUTERWEAR,0.5,7195.88,222,3382.49,0,11,2,0,0,28,0.470059256,33310,406
10,COLD,LG,SONOMA,1,27568.63,3325,12773.871,0,11,2,13700,685,185,0.463348052,83970,3927
10,COLD,LG,SONOMA DENIM,0.5,9987.24,857,3548.16,0,11,2,3848,148,23,0.355269324,25844,994
10,COLD,LG,SWIMWEAR,0.5,3452.19,355,1389.24,0,11,2,0,0,29,0.40242281,11670,457
1002,MILD,ST,ADIDAS,1.5,-309.98,-23,-110.38,0,8.5,2,0,0,26,0.35608749,0,0
1002,MILD,ST,CARTERS,0,4748.67,526,1490.48,0,8.5,2,3876,179,114,0.313873148,14992,691
1002,MILD,ST,CHAPS,0,19.38,4,-2.48,0,8.5,2,516,18,9,-0.127966976,0,0
1002,MILD,ST,HURLEY - HAWK,0.5,7065.67,470,3660.798,0,8.5,2,7432,245,109,0.518110526,17794,640
1002,MILD,ST,JUMPING BEANS,0,25991.85,3823,13546.059,0,8.5,2,16252,894,273,0.521165635,82832,4719
1002,MILD,ST,JUMPING BEANS ACTIVE,1,4202.06,420,2314.684,0,8.5,2,4564,178,101,0.550845062,11890,539
1002,MILD,ST,LEE DENIM,1,486.69,29,247.94,0,8.5,2,84,3,10,0.509441328,1472,46
1002,MILD,ST,LEVI DENIM,1,6320.41,292,2936.32,0,8.5,2,10656,255,28,0.464577456,10476.8,279
1002,MILD,ST,LICENSED CHARACTER - JBD,0,15208.3,1537,7521.163,0,8.5,2,21722,891,369,0.494543309,36523,1796
1002,MILD,ST,NIKE,2,11881.4,590,7122.74,0,8.5,2,6050,207,157,0.599486592,27654,966
1002,MILD,ST,OSHKOSH,0.5,-52.38,-6,-6.93,0,8.5,2,98,3,17,0.132302405,0,0
1002,MILD,ST,OUTERWEAR,0,3519.5,139,1761.94,0,8.5,2,720,12,17,0.500622247,11407,178
1002,MILD,ST,SONOMA,0,11660.14,1309,5808.985,0,8.5,2,7280,364,173,0.498191703,36684,1734
1002,MILD,ST,SONOMA DENIM,1,4448.3,384,1608.712,0,8.5,2,5278,203,23,0.361646472,10530,405
1002,MILD,ST,SWIMWEAR,0,1206.48,122,498.38,0,8.5,2,0,0,23,0.413086002,3698,146
1003,MILD,LO,ADIDAS,1,0,0,0,0,8.5,2,0,0,0,0,0,0
1003,MILD,LO,CARTERS,0,4814.55,530,1522.42,0,8.5,2,3056,141,112,0.316212315,15350,709
1003,MILD,LO,CHAPS,0,247.23,20,78.46,0,8.5,2,1288,45,12,0.317356308,0,0
1003,MILD,LO,HURLEY - HAWK,0.5,10269.02,658,5380.722,0,8.5,2,7978,258,138,0.523976192,29500,1058
1003,MILD,LO,JUMPING BEANS,0,16018.51,2374,8456.738,0,8.5,2,13288,733,263,0.52793537,49892,2862
1003,MILD,LO,JUMPING BEANS ACTIVE,0.5,3214.78,330,1766.522,0,8.5,2,4158,163,96,0.549500121,9104,424
1003,MILD,LO,LEE DENIM,1,451.53,32,198.53,0,8.5,2,0,0,9,0.439682856,1472,46
1003,MILD,LO,LEVI DENIM,1,5054.59,238,2366.45,0,8.5,2,7952,193,32,0.468178428,14032.8,366
1003,MILD,LO,LICENSED CHARACTER - JBD,0,12521.82,1245,6234.832,0,8.5,2,19204,780,360,0.497917395,30705,1493
1003,MILD,LO,NIKE,3,11492.64,570,6975.47,0,8.5,2,5906,193,157,0.606951057,26904,935
1003,MILD,LO,OSHKOSH,0.5,-19.85,-2,-2.1,0,8.5,2,0,0,5,0.105793451,0,0
1003,MILD,LO,OUTERWEAR,0,1935.88,77,995.72,0,8.5,2,720,12,15,0.514350063,7198,106
1003,MILD,LO,SONOMA,0,9589.79,1065,4993.676,0,8.5,2,5860,293,173,0.5207284,28518,1362
1003,MILD,LO,SONOMA DENIM,1,5036.36,429,1842.504,0,8.5,2,4498,173,22,0.365840409,10972,422
1003,MILD,LO,SWIMWEAR,0,910.26,88,388.96,0,8.5,2,0,0,23,0.427306484,3888,152
1004,MILD,ST,ADIDAS,1.5,-86.06,-7,-21.96,0,8.5,2,0,0,10,0.255170811,0,0
1004,MILD,ST,CARTERS,0,6532.85,761,1883.21,0,8.5,2,3304,154,116,0.288267755,21256,993
1004,MILD,ST,CHAPS,0,293.26,25,87.89,0,8.5,2,1078,37,10,0.299699925,0,0
1004,MILD,ST,HURLEY - HAWK,0.5,8223.59,552,4163.634,0,8.5,2,8672,285,112,0.506303695,23372,837
1004,MILD,ST,JUMPING BEANS,0,32460.49,4966,16455.16,0,8.5,2,20760,1147,281,0.506928885,113326.4,6473
1004,MILD,ST,JUMPING BEANS ACTIVE,1,3749.39,387,1997.161,0,8.5,2,8770,339,99,0.532662913,12920,593
1004,MILD,ST,LEE DENIM,1,798.63,52,401.13,0,8.5,2,0,0,10,0.502272642,3796,121
