"Store","Climate","VSG","Category","Space","Sales","Units","Profit","Exit_Flag","Future_Space","Entry_Space","BOH $","BOH Units","CC Count w/ BOH","Profit %","Receipts  $","Receipts Units"
"10","COLD","ST","ADIDAS&PUMA","10.11538334","16245.08","422.5","4721.035","0",191.041579868,0,"7198.39109","258.9375","16.4375","0","30771.91","452.5"
"10","COLD","ST","ASICS","18.36541479","47797.19","980","15461.115","0",191.041579868,0,"11610.2694","470.125","35.4375","0","85186.06","1128"
"10","COLD","ST","FILA USA","22.30365117","32303.925","1064.5","13037.435","0",191.041579868,0,"8331.693836","570.9375","28.8125","0","87908.365","1313.5"
"10","COLD","ST","KEDS","13.65914869","22130","659.5","9333","0",191.041579868,0,"22099.125","443.1875","20.1875","0","43456","865.5"
"10","COLD","ST","NEW BALANCE","20.81185797","42981.075","989","16216.845","0",191.041579868,0,"9101.091563","532.75","30.6875","0","78837.49","1151"
"10","COLD","ST","NIKE&PUMA&REEBOK","69.95622999","169424.505","4591","62343.245","0",191.041579868,0,"23951.4657","1790.766667","91.61538462","0","357607.26","6435.5"
"10","COLD","ST","SKECHERS","28.48568125","96085.295","2218","36797.09","0",191.041579868,0,"19226.3355","729.1875","40.25","0","183974.56","2794"
"10","COLD","ST","VANS","7.344212668","9975.65","289","3687.82","0",191.041579868,0,"9481.12","188","6.375","0","21355.85","415"
"1002","MILD","ST","ADIDAS&PUMA","8.551152593","1851.205","46","564.98","Exit",224.247021683,0,"2551.936357","68.60416667","9.784722222","0","5952.4","86"
"1002","MILD","ST","ASICS","11.07001625","5479.985","122.5","2093.205","0",224.247021683,0,"2495.07","88.8125","13.4375","0","7738.34","116"
"1002","MILD","ST","FILA USA","29.40838236","7757.22","266","3300.475","0",224.247021683,0,"3597.947917","235.9375","26.375","0","20928.79","321"
"1002","MILD","ST","KEDS","16.12025497","4686","136","2076","0",224.247021683,0,"6533.375","132.375","14.5","0","11782","238"
"1002","MILD","ST","NEW BALANCE","10.13518025","5377.47","121","2225.22","0",224.247021683,0,"1421.212951","81.3125","14","0","6574.015","98.5"
"1002","MILD","ST","NIKE&PUMA&REEBOK","94.85728912","52056.26","1315.5","19023.065","0",224.247021683,0,"10686.31086","761.0208333","82.20833333","0","105989.5","1828"
"1002","MILD","ST","SKECHERS","43.99961419","28794.495","633.5","11917.515","0",224.247021683,0,"9779.436316","353","40.1875","0","49445.02","748"
"1002","MILD","ST","VANS","10.10513195","3056.92","87","1160.37","0",224.247021683,0,"4101.332143","81.07142857","5.928571429","0","14787.12","288"
"1003","MILD","ST","ADIDAS&PUMA","5.994620043","2148.57","50.5","742.18","Exit",216.086639993,0,"2028.25563","47.84134615","5.875","0","4617.4","65"
"1003","MILD","ST","ASICS","10.89344933","6637.285","144.5","2548.45","0",216.086639993,0,"2476.877949","86.9375","11.9375","0","8308.26","124"
"1003","MILD","ST","FILA USA","28.3261008","10387.08","329.5","4450.205","0",216.086639993,0,"3495.546901","226.0625","25.625","0","21326.895","310.5"
"1003","MILD","ST","KEDS","17.03545515","6332","176","2930.5","0",216.086639993,0,"6821.6875","137.9375","14.6875","0","12674.5","255.5"
"1003","MILD","ST","NEW BALANCE","8.481384342","5735.89","128.5","2397.265","0",216.086639993,0,"1169.018871","67.6875","13.875","0","6181.57","93"
"1003","MILD","ST","NIKE&PUMA&REEBOK","93.42052984","56995.105","1355.5","21544.485","0",216.086639993,0,"10970.37873","745.5625","77.1875","0","94588.5","1608"
"1003","MILD","ST","SKECHERS","43.70693076","37263.55","809","15604.23","0",216.086639993,0,"10513.54829","348.8125","35.875","0","58608.595","890.5"
