Store,Product,Space,Profit,Sales,Units
7,APT 9,5.25,2951,91410.24,86
8,APT 9,5.25,4967,67962.87,14
9,APT 9,5.25,3620,41848.41,86
10,APT 9,5.25,1577,71485,91
11,APT 9,5.25,7360,84337.74,66
14,APT 9,5.25,4386,44976.41,81
17,APT 9,5.25,6704,58419.9,64
18,APT 9,5.25,9460,72419.16,79
19,APT 9,5.25,4262,26444.11,60
25,APT 9,5.25,1260,55992.01,10
31,APT 9,5.25,4535,68754.53,73
32,APT 9,5.25,7605,51747.52,28
33,APT 9,5.25,9819,59391.77,25
34,APT 9,5.25,8504,50273.36,69
35,APT 9,5.25,6377,51829.94,47
37,APT 9,5.25,3980,72813.84,88
39,APT 9,5.25,4309,88938.22,7
41,APT 9,5.25,5578,70730.81,94
43,APT 9,5.25,3211,46140,1
48,APT 9,5.25,6784,66149.99,53
49,APT 9,5.25,3268,49703.43,23
52,APT 9,5.25,3179,44330.92,93
54,APT 9,5.25,9757,56236.2,81
55,APT 9,5.25,8891,53201.28,99
57,APT 9,5.25,4217,35163.18,79
59,APT 9,5.25,1336,24898.31,77
60,APT 9,5.25,9641,42555.84,81
62,APT 9,5.25,7148,82407.73,59
63,APT 9,5.25,9153,45113.32,50
64,APT 9,5.25,5675,61557.08,80
65,APT 9,5.25,6250,42733.96,58
66,APT 9,5.25,9469,48257.25,35
67,APT 9,5.25,1060,35743.69,87
68,APT 9,5.25,3954,46489.27,37
70,APT 9,5.25,8350,36815.46,53
71,APT 9,5.25,3877,38988.82,44
72,APT 9,5.25,6104,58321.29,97
73,APT 9,5.25,1320,75020.72,77
75,APT 9,5.25,8545,44937.96,53
77,APT 9,5.25,4184,33742.68,72
79,APT 9,5.25,6828,50396.05,23
82,APT 9,5.25,1570,39907.13,48
83,APT 9,5.25,4399,53086.25,7
84,APT 9,5.25,7054,41090.95,73
86,APT 9,5.25,5052,77108.89,63
89,APT 9,5.25,4376,42328.87,94
91,APT 9,5.25,5298,60366.05,45
95,APT 9,5.25,5041,34753.7,91
