"Store","Climate","VSG","Product","Store_Group","Space","Sales","Scaled_Alpha_Sales","Scaled_Shift_Sales","Scaled_Beta_Sales","Scaled_BP_Sales","Units","Scaled_Alpha_Units","Scaled_Shift_Units","Scaled_Beta_Units","Scaled_BP_Units","Profit","Scaled_Alpha_Profit","Scaled_Shift_Profit","Scaled_Beta_Profit","Scaled_BP_Profit","Lower_Limit","Upper_Limit"
10,"COLD","ST","APT 9","NA-High",5,32945.22,34096.6428847311,1.03585603053636,1.8674,4.64682960908858,1933,2004.66749988856,1.49823705186011,1.6677,4.95222031632874,12722.859,12945.2273578977,0.961489151664225,1.6948,3.84791130878824,2.5,7.5
10,"COLD","ST","CHAPS","NA-High",3,20381.34,20965.4761407209,0.3411,1.20901591382404,3,1004,1036.50195860188,0.330674638341339,1.2401,2.86906511688034,1283.09,4127.1887,0,0.232,0,1.5,4.5
10,"COLD","ST","CROFT & BARROW","NA-High",9,89958.93,101158.016078095,2.64258837812913,3.9858,6.61089182925618,6866,7522.56348658562,2.4648268743706,3.8219,6.33917314180227,36035,41023.2093091472,2.73416267725391,4.0474,6.79385069823598,4.5,13.5
10,"COLD","ST","GLORIA VANDERBILT","NA-High",2,15508.95,15936.6172630761,0,0.903382291974945,1.20006537881253,710,743.927986523614,0.0971360015033098,0.9519,1.2007752663984,5375.49,5068.2589,0,0.1296,0,1,3
10,"COLD","ST","JENNIFER LOPEZ","NA-High",3,14646.37,15103.0861442601,0,1.38444485725041,1.60347670388732,594,618.729519109532,0.044593756453092,1.4388,1.96840261751867,7418.786,7568.30221982383,0,1.28702456223121,1.34622466392821,1.5,4.5
10,"COLD","ST","LEE","NA-High",1.5,7687.05,9477.24445666246,0,1.14167585900158,0,324,395.94609418026,0,1.12315950474046,0,1740.33,2185.7243573214,0,1.18029213492846,0,0.5,2.5
10,"COLD","ST","SONOMA","NA-High",5,44068.97,49880.397226028,1.09121482644652,2.4903,3.57083970043017,3435,3713.47046553345,1.03315738855941,2.2279,3.52422540616866,17268.467,20154.5959266908,1.10713204707346,2.6591,3.60427522678952,2.5,7.5
10,"COLD","ST","TEKGEAR","NA-High",3.5,18240.05,20913.2369546131,0.408981635576704,2.0299,2.83717605435002,1575,1676.90059841933,0.0963510391955293,1.8151,2.4448105194467,7903.59,9268.96953260127,0.342096693788858,2.1792,3.02345478705063,1.5,5.5
1002,"COLD","ST","APT 9","NA-Medium",5,21951.34,26000.4195224012,0.919714266004169,2.8743,3.60564058626267,1288,1569.56068356044,1.09976183341792,2.9049,3.82710883377958,8371.249,9321.50780140452,0.817515482462058,2.5573,3.25727197234953,2.5,7.5
1002,"COLD","ST","CHAPS","NA-Medium",3,12328.23,14639.9478416667,0.2344,1.95842740847107,2,475,606.799591541896,0.3461,2.15065568204196,2,3161.22,3180.0329786496,0,1.08995672688231,1.30245545917941,1.5,4.5
1002,"COLD","ST","CROFT & BARROW","NA-Medium",9,45750.74,55199.0590234532,2.42851797545269,4.8021,7.38832019436808,3430,4229.88912748261,2.8901,4.65255928679789,7.5,19405.224,21533.1901675191,1.33301611275687,4.645,6.73379800402244,4.5,13.5
1002,"COLD","ST","GLORIA VANDERBILT","NA-Medium",2,6924.46,7470.42967894488,0.0725,1.07543073921441,1.5,325,385.058369279014,0,1.40969232229461,0,2209.62,2226.53985635263,0.0012,0.748788461103998,1.5,1,3
1002,"COLD","ST","JENNIFER LOPEZ","NA-Medium",2,9107.95,11289.8269719156,0.0930027181399569,1.4658,1.47020331926218,419,503.13710441879,0.0553048884154164,1.408,1.40934478202317,4123.798,5199.6926833717,0.235214302789212,1.3983,1.55354130384482,1,3
1002,"COLD","ST","LEE","NA-Medium",1.5,4133.99,6563.63961761942,0,1.67381078464721,0,175,262.224519315784,0,1.54826868475818,0,931.49,1733.06641240564,0,2.04163566878715,0,0.5,2.5
1002,"COLD","ST","SONOMA","NA-Medium",5,28145.35,30918.8241460323,1.09272007747957,2.3025,3.62056324434197,2185,2535.25295796584,0.634771044312854,2.9441,3.82754561566418,11457.186,12026.7617169444,0.428813260976058,2.3051,2.95444322342035,2.5,7.5
1002,"COLD","ST","TEKGEAR","NA-Medium",3.5,10363.23,12095.7289449485,0.4989,2.05012817770653,3,824,943.812554392683,0.6048,1.89692530504744,3,4941.214,5515.45935058617,0.0706223666119175,2.1101,2.69766800439714,1.5,5.5
1003,"COLD","ST","APT 9","NA-Medium",5,20478.67,24527.7495224012,1.00994793963775,2.8743,3.92172000748468,1260,1541.56068356044,1.1287834613767,2.9049,3.92389046735782,7471.845,8422.10380140452,0.945134668967654,2.5573,3.76841020896552,2.5,7.5
