"Store","Climate","VSG","Product","Space","Sales","Units","Profit","Exit_Flag","Future_Space","Entry_Space","BOH $","BOH Units","CC Count w/ BOH","Profit %","Receipts  $","Receipts Units"
"10","COLD","ST","APT 9","5","32945.22","1933","12722.859","0","33","2","35013.93333","838","133.5","0.386182244","84136","1878"
"10","COLD","ST","CHAPS","3","20381.34","1004","1283.09","0","33","2","38685.65","712.5","66.5","0.062954153","49174","746"
"10","COLD","ST","CROFT & BARROW","9","89958.93","6866","36035","0","33","2","82177.89667","2412.166667","228.3333333","0.400571683","202374","5746"
"10","COLD","ST","GLORIA VANDERBILT","2","15508.95","710","5375.49","0","33","2","13568.63","323","37.33333333","0.34660567","33358.26","774"
"10","COLD","ST","JENNIFER LOPEZ","3","14646.37","594","7418.786","0","33","2","19395.96667","350.3333333","59.16666667","0.506527283","39976","705"
"10","COLD","ST","LEE","1.5","7687.05","324","1740.33","0","33","2","7116.208333","169.5","23","0.226397643","10398.62","238"
"10","COLD","ST","SONOMA","5","44068.97","3435","17268.467","0","33","2","39278.93667","1202","130.6666667","0.391850933","103658","3046"
"10","COLD","ST","TEKGEAR","3.5","18240.05","1575","7903.59","0","33","2","15306.76667","515","76.33333333","0.433309667","46176","1417"
"1002","COLD","ST","APT 9","5","21951.34","1288","8371.249","0","33","2","33455.1","822.6666667","127.8333333","0.381354806","59590","1358"
"1002","COLD","ST","CHAPS","3","12328.23","475","3161.22","0","33","2","24462.75","426.5","60","0.256421238","34155","523"
"1002","COLD","ST","CROFT & BARROW","9","45750.74","3430","19405.224","0","33","2","59524.59667","1835.833333","220.8333333","0.424151041","99586","2887"
"1002","COLD","ST","GLORIA VANDERBILT","2","6924.46","325","2209.62","0","33","2","8695.17","221.3333333","33.33333333","0.319103584","11889.24","276"
"1002","COLD","ST","JENNIFER LOPEZ","2","9107.95","419","4123.798","0","33","2","17453.73333","337.5","52.33333333","0.452769064","25380","447"
"1002","COLD","ST","LEE","1.5","4133.99","175","931.49","Exit","33","2","5456.758333","134.5","19.33333333","0.225324686","5455.77","123"
"1002","COLD","ST","SONOMA","5","28145.35","2185","11457.186","0","33","2","32774.19167","1037.5","135.5","0.407072074","71112","2165"
"1002","COLD","ST","TEKGEAR","3.5","10363.23","824","4941.214","0","33","2","11982.53333","408.5","75.5","0.476802503","24790","767"
"1003","COLD","ST","APT 9","5","20478.67","1260","7471.845","0","33","1.5","35526","874","126.5","0.364859876","62648","1440"
"1003","COLD","ST","CHAPS","2","10185.82","380","2911.62","0","33","1.5","17497.66667","299.8333333","52","0.285850329","27462","426"
"1003","COLD","ST","CROFT & BARROW","9","45290.63","3321","19318.468","0","33","1.5","61639.78833","1835.666667","222.1666667","0.426544475","112334","3267"
"1003","COLD","ST","GLORIA VANDERBILT","2","7429.85","338","2537.5","0","33","1.5","8915.901667","226.8333333","32.33333333","0.341527756","15287.45","355"
"1003","COLD","ST","JENNIFER LOPEZ","2","9799.42","468","4280.6","0","33","1.5","17456.23333","341.8333333","54.83333333","0.436821771","24946","443"
"1003","COLD","ST","LEE","1.5","3306.69","124","1008.19","Exit","33","1.5","6015.831667","148.3333333","19","0.304894018","5083.85","115"
"1003","COLD","ST","SONOMA","5","27444.74","2078","11628.45","0","33","1.5","35083.29","1105.833333","137.5","0.423704141","71104","2149"
"1003","COLD","ST","TEKGEAR","3.5","11548.29","896","5750.452","0","33","1.5","11839.8","378.5","71","0.497948354","27544","853"
"1004","COLD","ST","APT 9","5","23496.71","1397","9209.95","0","33","0","42903.96667","1044.833333","137.8333333","0.391967641","78872","1833"
"1004","COLD","ST","CHAPS","3","12661.71","449","3996.58","0","33","0","20910.58333","361.8333333","57.16666667","0.31564299","34910","540"
"1004","COLD","ST","CROFT & BARROW","9","49982.74","3717","21281.05","0","33","0","68510.695","2019","218.5","0.425767975","129584","3810"
"1004","COLD","ST","GLORIA VANDERBILT","2","7628.69","333","2874.85","0","33","0","11038.69333","267.8333333","34.16666667","0.376847139","17815.86","414"
"1004","COLD","ST","JENNIFER LOPEZ","2","10942.63","496","5088.425","0","33","0","20665.03333","390.1666667","51.16666667","0.465009326","33076","578"
"1004","COLD","ST","LEE","1.5","8648.55","307","2793.55","0","33","0","8258.798333","196.5","18.83333333","0.323007903","14029.84","316"
"1004","COLD","ST","SONOMA","5","36525.69","2757","15902.123","0","33","0","41673.09","1315.5","133.1666667","0.435368175","101608","3128"
"1004","COLD","ST","TEKGEAR","3.5","14756.18","1157","7200.304","0","33","0","15802.83333","520.6666667","76.83333333","0.48795176","36668","1139"
"1005","COLD","LG","APT 9","5","21079.76","1261","7657.225","0","33","2","28064.23333","751.6666667","131.5","0.363250103","62098","1390"
"1005","COLD","LG","CHAPS","3","21630.39","902","4144.46","0","33","2","38503.91667","745.3333333","78","0.191603573","60697","945"
"1005","COLD","LG","CROFT & BARROW","9","56483.11","4066","23988.276","0","33","2","65413.63333","1986","234.1666667","0.424698215","131500","3774"
"1005","COLD","LG","GLORIA VANDERBILT","2","9882.4","445","3504.65","0","33","2","11229.08","293.3333333","35.66666667","0.354635514","21049.13","487"
"1005","COLD","LG","JENNIFER LOPEZ","2","6577","292","3178.824","0","33","2","13745.4","261.6666667","45","0.483324312","23684","418"
"1005","COLD","LG","LEE","1.5","7607.78","314","1811.8","0","33","2","10278.58167","259.6666667","22.83333333","0.238150945","11914.32","268"
"1005","COLD","LG","SONOMA","5","27832.13","2135","10893.827","0","33","2","36262.65833","1160.333333","139","0.391411904","74242","2058"
"1005","COLD","LG","TEKGEAR","3.5","13217.56","1052","6247.375","0","33","2","14176.36667","461.1666667","71.83333333","0.472657208","40590","1249"
"1006","COLD","SM","APT 9","5","23579.37","1373","9106.798","0","33","2","35867.6","873.1666667","129.1666667","0.386218885","66860","1502"
"1006","COLD","SM","CHAPS","2","9495.89","359","2617.03","0","33","2","15045.66667","258.8333333","47.16666667","0.275596074","24872","384"
"1006","COLD","SM","CROFT & BARROW","9","46477.14","3310","19832.566","0","33","2","63048.59833","1800.833333","211.5","0.426716575","121682","3514"
"1006","COLD","SM","GLORIA VANDERBILT","2","8274.08","369","3032.33","0","33","2","8660.893333","214.3333333","32","0.366485458","16418.17","383"
"1006","COLD","SM","JENNIFER LOPEZ","2","9020.6","408","4144.459","0","33","2","16586.13333","326","50","0.459443829","26344","465"
"1006","COLD","SM","LEE","1.5","4535.06","179","1176.07","Exit","33","2","5648.625","133.6666667","17.83333333","0.259328432","7626.29","171"
"1006","COLD","SM","SONOMA","5","30542.3","2358","12338.39","0","33","2","39173.4","1205.666667","131.5","0.403977107","88958","2667"
"1006","COLD","SM","TEKGEAR","3.5","11870.84","998","5471.506","0","33","2","14268.2","471.5","70.5","0.460919868","33754","1050"
"1007","COLD","SM","APT 9","4","13220.18","812","4507.911","0","24","0","18651.06667","472.6666667","92.83333333","0.340987112","31536","736"
"1007","COLD","SM","CHAPS","2","10220.91","367","3216.35","0","24","0","15787.58333","293","49","0.314683331","27139","423"
"1007","COLD","SM","CROFT & BARROW","7.5","25198.13","1959","10279.333","0","24","0","28063.06667","831.8333333","143.6666667","0.407940311","56452","1717"
"1007","COLD","SM","GLORIA VANDERBILT","1.5","6519.32","330","1718.66","0","24","0","6742.94","176.1666667","31.16666667","0.263625654","9210.85","215"
"1007","COLD","SM","JENNIFER LOPEZ","2","4967.81","258","1858.58","0","24","0","9166.3","185.5","34.16666667","0.374124614","15220","267"
"1007","COLD","SM","LEE","1","1553.05","83","107.55","Exit","24","0","1721.811667","48.83333333","6.833333333","0.069250829","3329.26","74"
"1007","COLD","SM","SONOMA","4","20642.91","1633","8086.406","0","24","0","20720.62833","720.5","102.1666667","0.391728007","55576","1744"
"1007","COLD","SM","TEKGEAR","3","6427.29","556","2898.177","0","24","0","9035.866667","312.1666667","59.33333333","0.450917416","20760","667"
"1008","COLD","SM","APT 9","4","13710.17","776","5384.596","0","24","0","13721.36667","325.8333333","75.16666667","0.392744656","33880","768"
"1008","COLD","SM","CHAPS","2","11705.22","470","2705.81","0","24","0","14646.48333","268.8333333","48.16666667","0.231162678","25142","382"
"1008","COLD","SM","CROFT & BARROW","7.5","38485.01","2840","15630.106","0","24","0","34852.46333","1003.5","161","0.406134908","82268","2378"
"1008","COLD","SM","GLORIA VANDERBILT","1.5","11154.78","507","3991.55","0","24","0","8638.051667","207.1666667","31","0.357833144","19138.55","445"
"1008","COLD","SM","JENNIFER LOPEZ","2","5432.35","236","2620.249","Exit","24","0","7728.033333","141.6666667","30.33333333","0.482341712","15738","275"
"1008","COLD","SM","LEE","1","3428.07","178","95.07","0","24","0","3516.405","88","9.5","0.027732806","5173.85","115"
"1008","COLD","SM","SONOMA","4","22771.55","1745","9428.225","0","24","0","16137.35","513.1666667","92.16666667","0.414035276","49248","1519"
"1008","COLD","SM","TEKGEAR","3","11121.45","888","5372.947","0","24","0","9293.3","297.1666667","60.33333333","0.483115691","30128","948"
"1009","COLD","ST","APT 9","5","13580.58","927","3943.563","0","33","1.5","20577.23333","561.3333333","106","0.290382517","41488","954"
"1009","COLD","ST","CHAPS","3","16821.95","785","1948.59","0","33","1.5","25033","518.3333333","63.5","0.115836155","38399","607"
"1009","COLD","ST","CROFT & BARROW","9","38100.12","2936","14781.058","0","33","1.5","49927.23333","1546.333333","221.8333333","0.387953056","99804","2965"
"1009","COLD","ST","GLORIA VANDERBILT","2","7375.08","345","2468.35","0","33","1.5","10640.735","277.5","35.33333333","0.334687895","14917","342"
"1009","COLD","ST","JENNIFER LOPEZ","2","5694.83","257","2686.421","0","33","1.5","11125.93333","219","43.16666667","0.471729797","17922","317"
"1009","COLD","ST","LEE","1.5","4885.1","234","717.35","0","33","1.5","6322.593333","166.5","19.33333333","0.146844486","8173.6","179"
"1009","COLD","ST","SONOMA","5","16323.6","1368","5466.437","0","33","1.5","23850.43333","824.5","122","0.334879377","43262","1297"
"1009","COLD","ST","TEKGEAR","3.5","6414.02","543","2866.612","0","33","1.5","9743.633333","327.8333333","72.16666667","0.446929071","22694","706"
"101","COLD","LG","APT 9","5","31087.29","1933","10964.756","0","33","2","35873.33333","872.1666667","133.3333333","0.352708647","86746","1964"
"101","COLD","LG","CHAPS","3","18523.3","876","1679.96","0","33","2","35441.68333","666.8333333","70.33333333","0.090694423","48023","731"
"101","COLD","LG","CROFT & BARROW","9","67533.03","5302","25732.532","0","33","2","77961.69833","2366.166667","229","0.381036243","173178","5019"
"101","COLD","LG","GLORIA VANDERBILT","2","11380.81","548","3417.53","0","33","2","15389.355","375.8333333","38.33333333","0.30028882","29066.3","670"
"101","COLD","LG","JENNIFER LOPEZ","2","7182.93","333","3150.027","0","33","2","18757.86667","345.3333333","51.5","0.438543463","30838","539"
"101","COLD","LG","LEE","1.5","10646.59","464","2196.85","0","33","2","14304.59833","353","30.83333333","0.206343064","18450.83","417"
"101","COLD","LG","SONOMA","5","37714.76","3067","13127.894","0","33","2","44899.02","1408.666667","128.1666667","0.348083721","103634","3004"
"101","COLD","LG","TEKGEAR","3.5","15530.89","1374","6538.489","0","33","2","18442.86667","614.5","79.16666667","0.42099899","50200","1540"
"1010","COLD","ST","APT 9","5","22654.88","1366","8460.729","0","33","2","29659.46667","774.5","129.3333333","0.373461656","62230","1417"
"1010","COLD","ST","CHAPS","3","20597.12","839","4287.72","0","33","2","27802.8","533.3333333","65.66666667","0.208170851","52580","796"
"1010","COLD","ST","CROFT & BARROW","9","55081.7","3976","22956.811","0","33","2","58278.40833","1705.333333","220.5","0.41677746","127134","3675"
"1010","COLD","ST","GLORIA VANDERBILT","2","12057.2","523","4530.22","0","33","2","12094.785","278.8333333","39.16666667","0.375727366","24693.28","572"
"1010","COLD","ST","JENNIFER LOPEZ","2","9332.87","383","4753.359","0","33","2","12769.33333","240.5","42.83333333","0.509313748","24722","434"
"1010","COLD","ST","LEE","1.5","6033.01","253","1347.76","0","33","2","7799.818333","195","20.66666667","0.223397607","7405.32","168"
"1010","COLD","ST","SONOMA","5","33966.57","2607","13763.279","0","33","2","32088.19667","1011.5","131.5","0.405200731","82150","2450"
"1010","COLD","ST","TEKGEAR","3.5","9976.42","819","4768.866","0","33","2","9661.233333","316.5","66.33333333","0.478013756","26670","833"
"1011","COLD","SM","APT 9","4","19682.45","1095","8279.752","0","24","0","25218.96667","613.5","94.5","0.420666736","48458","1100"
"1011","COLD","SM","CHAPS","2","11799.55","393","4194.51","0","24","0","14052.46667","241","43","0.355480506","26279","403"
"1011","COLD","SM","CROFT & BARROW","7.5","48579.78","3463","21245.552","0","24","0","56034.3","1585.166667","184.5","0.437333228","103522","3032"
"1011","COLD","SM","GLORIA VANDERBILT","1.5","6784.76","300","2569.6","0","24","0","8871.905","213","31.5","0.378731156","11487.31","269"
"1011","COLD","SM","JENNIFER LOPEZ","2","8380.45","361","4102.287","0","24","0","10478.2","200.8333333","32.66666667","0.489506769","18684","330"
"1011","COLD","SM","LEE","1","2038.62","83","500.62","Exit","24","0","1676.071667","26","6","0.24556808","5038.88","112"
"1011","COLD","SM","SONOMA","4","33627.72","2374","15626.09","0","24","0","29290.66333","891.8333333","108.3333333","0.464678842","71528","2202"
"1011","COLD","SM","TEKGEAR","3","12806.34","984","6445.909","0","24","0","11644.43333","377.1666667","66.33333333","0.503337331","29334","922"
"1012","COLD","SM","APT 9","4","17899.55","980","7167.799","0","24","0","16552.36667","381.6666667","86.66666667","0.400445765","41208","920"
"1012","COLD","SM","CHAPS","2","15874.84","548","5137.03","0","24","0","15676","275","51.5","0.323595702","34689","525"
"1012","COLD","SM","CROFT & BARROW","7.5","49032.61","3443","21124.701","0","24","0","37022.61333","1049","158","0.430829625","107046","3053"
"1012","COLD","SM","GLORIA VANDERBILT","1.5","14615.7","646","5442.42","0","24","0","13636.24833","320.1666667","31.66666667","0.37236807","30763.85","715"
"1012","COLD","SM","JENNIFER LOPEZ","2","6626.89","263","3503.51","Exit","24","0","6979.9","126","28.83333333","0.528680874","17044","299"
"1012","COLD","SM","LEE","1","3341.57","163","219.07","0","24","0","3755.116667","97.33333333","8.166666667","0.065559004","6711.53","147"
"1012","COLD","SM","SONOMA","4","26902.76","2064","11170.875","0","24","0","21862.62333","672.8333333","102.8333333","0.41523156","62006","1928"
"1012","COLD","SM","TEKGEAR","3","12043.74","961","5756.226","0","24","0","7102.533333","228.6666667","54.83333333","0.477943396","27508","865"
"1013","COLD","LG","APT 9","5","24301.63","1550","8161.047","0","33","3","36211.7","885.6666667","132.5","0.335823029","69134","1612"
"1013","COLD","LG","CHAPS","2","9912.11","487","771.65","0","33","3","15947.25","304.5","44.16666667","0.077849217","27849","451"
"1013","COLD","LG","CROFT & BARROW","9","34548.37","2708","13594.75","0","33","3","37634.28167","1142.5","190","0.393499028","85304","2590"
"1013","COLD","LG","GLORIA VANDERBILT","2","8011.9","356","2732.89","0","33","3","10157.92333","247.5","39.5","0.341103858","15198.29","341"
"1013","COLD","LG","JENNIFER LOPEZ","3","16997.97","736","8043.773","0","33","3","21624.96667","401.1666667","56.5","0.473219626","36691.6","676"
"1013","COLD","LG","LEE","1.5","4658.46","196","1440.2","0","33","3","4928.965","116.5","16.33333333","0.309157962","8413.1","176"
"1013","COLD","LG","SONOMA","5","28387.82","2517","10133.771","0","33","3","39597.57333","1233","135.1666667","0.35697602","84034","2709"
"1013","COLD","LG","TEKGEAR","3.5","10185.84","841","4753.311","0","33","3","8975.5","290.8333333","57.33333333","0.466658714","29000","931"
"1014","COLD","ST","APT 9","5","19237.62","1186","6751.874","0","33","1.5","24452.23333","614.5","111.3333333","0.350972418","49570","1137"
"1014","COLD","ST","CHAPS","3","13990.95","617","2117.32","0","33","1.5","20190.23333","387.8333333","59.5","0.15133497","35696","564"
"1014","COLD","ST","CROFT & BARROW","9","45222.59","3589","16520.455","0","33","1.5","54075.65667","1675.166667","222.5","0.365314216","121662","3577"
"1014","COLD","ST","GLORIA VANDERBILT","2","8904.69","414","2996.94","0","33","1.5","10573.285","260.3333333","35.16666667","0.336557477","20327.74","468"
"1014","COLD","ST","JENNIFER LOPEZ","3","9802.1","409","4943.939","0","33","1.5","13933.43333","260","48","0.504375491","28456","506"
"1014","COLD","ST","LEE","1.5","5732.92","230","1470.65","0","33","1.5","5537.408333","140","18","0.256527215","9372.49","206"
"1014","COLD","ST","SONOMA","5","24810.82","1961","9084.205","0","33","1.5","30219.96667","954.3333333","129.3333333","0.366138846","61090","1848"
"1014","COLD","ST","TEKGEAR","3.5","7876.49","689","3412.278","0","33","1.5","11284.33333","392.3333333","68.66666667","0.433223174","24536","771"
"1015","COLD","LG","APT 9","5","36515.18","2322","11965.573","0","33","3","61835.96667","1504.5","172.1666667","0.327687636","101208","2347"
"1015","COLD","LG","CHAPS","3","12194.71","583","1159.7","0","33","3","22625.58333","426.6666667","58","0.095098612","35708","574"
"1015","COLD","LG","CROFT & BARROW","9","48735.46","4063","18297.684","0","33","3","63155.845","2033.5","234","0.375449088","140830","4307"
"1015","COLD","LG","GLORIA VANDERBILT","2","9943.03","453","3381.79","0","33","3","12334.58333","291.8333333","41.33333333","0.340116645","21825.44","489"
"1015","COLD","LG","JENNIFER LOPEZ","3","14849.89","740","5833.965","0","33","3","30929.43333","587.1666667","66.33333333","0.392862506","38616.8","708"
"1015","COLD","LG","LEE","1.5","6557.31","258","1981.33","0","33","3","7159.141667","170","20.66666667","0.302155915","13192.05","279"
"1015","COLD","LG","SONOMA","5","35568.48","3106","12632.195","0","33","3","53965.86333","1699.333333","142.6666667","0.355151387","111212","3539"
"1015","COLD","LG","TEKGEAR","3.5","11566.82","982","5194.247","0","33","3","13470.2","457.6666667","63.83333333","0.449064393","33870","1092"
"1016","COLD","SM","APT 9","5","12382.53","824","3919.454","0","33","0","21900","582","109.5","0.316530951","40808","946"
"1016","COLD","SM","CHAPS","2","10047.53","408","2260.39","0","33","0","15911.75","318.3333333","48.16666667","0.224969719","28491","455"
"1016","COLD","SM","CROFT & BARROW","9","27551.32","2197","10320.578","0","33","0","36120.61667","1201","189.5","0.374594684","69168","2028"
"1016","COLD","SM","GLORIA VANDERBILT","2","5339.46","296","958.23","0","33","0","8914.493333","248.3333333","33.83333333","0.179461968","11029.9","252"
"1016","COLD","SM","JENNIFER LOPEZ","2","5945.97","336","2025.129","0","33","0","12816.93333","254.1666667","43.66666667","0.340588499","16752","295"
"1016","COLD","SM","LEE","1.5","2606.34","143","199.09","0","33","0","5186.913333","139.8333333","16.33333333","0.076386811","5982.05","130"
"1016","COLD","SM","SONOMA","5","14827.95","1397","4545.728","0","33","0","22267.73","820.3333333","116.6666667","0.306564832","38076","1192"
"1016","COLD","SM","TEKGEAR","3.5","7014.12","579","3331.301","0","33","0","9105.766667","324.1666667","65.5","0.474942117","22126","706"
"1017","COLD","LG","APT 9","5","25858.87","1520","10166.869","0","33","3","35171.43333","855.3333333","129.6666667","0.393167567","69274","1588"
"1017","COLD","LG","CHAPS","3","12616.67","464","3448.88","0","33","3","20549.58333","361.3333333","57.5","0.273358977","32508","496"
"1017","COLD","LG","CROFT & BARROW","9","47545.15","3457","20105.952","0","33","3","58166.225","1673.166667","212.3333333","0.42288124","107096","3087"
"1017","COLD","LG","GLORIA VANDERBILT","2","7034.15","325","2319.51","0","33","3","7734.078333","190.6666667","33.33333333","0.329749863","12885.01","299"
"1017","COLD","LG","JENNIFER LOPEZ","2","10306.31","482","4619.09","0","33","3","18065.76667","355.3333333","49.33333333","0.448180775","29842","528"
"1017","COLD","LG","LEE","1.5","2536.23","98","756.97","Exit","33","3","4492.085","108.8333333","15.5","0.298462679","4669.95","105"
"1017","COLD","LG","SONOMA","5","33685.7","2598","14012.174","0","33","3","37797.92","1193.5","130","0.415968022","84814","2570"
"1017","COLD","LG","TEKGEAR","3.5","11429.9","923","5364.921","0","33","3","13407.1","454.5","71","0.469376023","28842","899"
"1018","COLD","ST","APT 9","5","24436.17","1408","9510.46","0","33","3","37150.46667","911","133.8333333","0.389196016","62584","1420"
"1018","COLD","ST","CHAPS","2","9785.81","366","2735.47","0","33","3","18318.83333","315.8333333","51.33333333","0.279534346","28012","428"
"1018","COLD","ST","CROFT & BARROW","9","40792.46","2951","17275.13","0","33","3","54446.875","1637.333333","212.8333333","0.423488311","96564","2746"
"1018","COLD","ST","GLORIA VANDERBILT","2","6602.96","291","2413.91","0","33","3","9666.403333","239","31.5","0.365579982","13064.96","304"
"1018","COLD","ST","JENNIFER LOPEZ","3","12616.67","543","6010.001","0","33","3","21603.46667","416.6666667","60.83333333","0.476353982","33156","588"
"1018","COLD","ST","LEE","1.5","4012.1","156","1157.1","Exit","33","3","5558.06","137","18.16666667","0.288402582","6409.54","146"
"1018","COLD","ST","SONOMA","5","28386.01","2266","11164.514","0","33","3","42829.785","1376.333333","137","0.393310437","73296","2175"
"1018","COLD","ST","TEKGEAR","3.5","10805.83","851","5206.891","0","33","3","13913.96667","459.6666667","72.5","0.481859422","29788","917"
"1019","COLD","ST","APT 9","5","21712.43","1310","8003.003","0","33","2","29427.4","764.6666667","124.5","0.368590849","60520","1365"
"1019","COLD","ST","CHAPS","3","20567.1","851","4193.01","0","33","2","31780.61667","626.3333333","70.66666667","0.203869773","53136","824"
"1019","COLD","ST","CROFT & BARROW","9","45411.94","3582","17078.831","0","33","2","58129.82","1895.5","229","0.376086796","112278","3216"
"1019","COLD","ST","GLORIA VANDERBILT","2","10689.26","497","3513.76","0","33","2","11282.67","295","39","0.328718733","21127.11","489"
"1019","COLD","ST","JENNIFER LOPEZ","3","9315.42","387","4625.026","0","33","2","15657.03333","293.5","54.16666667","0.496491409","28482","505"
"1019","COLD","ST","LEE","1.5","7068.57","291","1744.57","0","33","2","9580.866667","234","20.33333333","0.246806638","11454.38","262"
"1019","COLD","ST","SONOMA","5","29746.04","2374","11332.676","0","33","2","35554.65833","1146.333333","130.3333333","0.380980998","79320","2272"
"1019","COLD","ST","TEKGEAR","3.5","9430.39","765","4538.075","0","33","2","11454.335","369","63","0.481218168","29304","908"
"102","COLD","ST","APT 9","5","46160.1","2678","17900.476","0","41","5","61264.66667","1531.166667","166","0.387791101","124158","2818"
"102","COLD","ST","CHAPS","3","38632.8","1523","9476.42","0","41","5","55738.93333","1083.166667","71","0.245294672","94345","1445"
"102","COLD","ST","CROFT & BARROW","10.5","116962.17","8569","48261.025","0","41","5","119695.6267","3692.333333","253.6666667","0.412620807","272248","7963"
"102","COLD","ST","GLORIA VANDERBILT","2","22385.08","996","7890.3","0","41","5","19917.37667","528","42.5","0.352480313","47595.99","1101"
"102","COLD","ST","JENNIFER LOPEZ","3","13927.64","554","7212.191","0","41","5","20729.83333","387.8333333","54.16666667","0.517832957","38088","663"
"102","COLD","ST","LEE","1.5","17978.56","681","5237.3","0","41","5","18707.62333","452.5","29","0.291308091","29410.29","671"
"102","COLD","ST","SONOMA","6","67263.27","4777","27720.107","0","41","5","62835.55333","2002.833333","147","0.41211358","170912","5000"
"102","COLD","ST","TEKGEAR","5.5","22440.1","1807","9772.139","0","41","5","30142.33333","950","94","0.435476624","70654","2060"
"1020","COLD","SM","APT 9","4","15920.7","907","6188.087","0","24","0","18961.23333","483.8333333","85.66666667","0.388681842","37240","848"
"1020","COLD","SM","CHAPS","2","12409.44","428","4231.24","0","24","0","16769","297.6666667","48.83333333","0.340969456","28385","457"
"1020","COLD","SM","CROFT & BARROW","7.5","39684.14","2729","17684.715","0","24","0","39363.86667","1200.333333","155.3333333","0.445636846","88328","2689"
"1020","COLD","SM","GLORIA VANDERBILT","1.5","7083.99","324","2535.59","0","24","0","6695.528333","170.5","28.66666667","0.357932465","13910.14","321"
"1020","COLD","SM","JENNIFER LOPEZ","2","8270.41","328","4323.754","0","24","0","8188.1","151.6666667","29.5","0.522798023","19936","353"
"1020","COLD","SM","LEE","1","1741.65","76","373.15","Exit","24","0","1455.058333","35.33333333","6.166666667","0.214250854","4854.31","104"
"1020","COLD","SM","SONOMA","4","25971.98","2138","10169.639","0","24","0","24048.135","811.8333333","106","0.391561945","49694","1608"
"1020","COLD","SM","TEKGEAR","3","9544.55","782","4485.661","0","24","0","10244.86667","341.6666667","66.16666667","0.469970926","20378","645"
"1021","COLD","ST","APT 9","4","19248.61","1168","7050.589","0","24","0","18108.56667","479.3333333","93.5","0.366290813","41084","913"
"1021","COLD","ST","CHAPS","2","11917.59","461","2998.88","0","24","0","11528.33333","219.6666667","43.5","0.251634768","25265","383"
"1021","COLD","ST","CROFT & BARROW","7.5","51585.9","3832","21345.367","0","24","0","42445.67667","1319.5","177.8333333","0.413782972","104428","2961"
"1021","COLD","ST","GLORIA VANDERBILT","1.5","11311.64","507","4162.39","0","24","0","10095.1","250.1666667","32.66666667","0.367974052","23019.64","536"
"1021","COLD","ST","JENNIFER LOPEZ","2","7595.57","396","2687.631","0","24","0","8677","182.1666667","34","0.35384191","15356","269"
"1021","COLD","ST","LEE","1","3947.28","180","487.77","Exit","24","0","3219.975","94.5","9.333333333","0.123571168","7431.37","163"
"1021","COLD","ST","SONOMA","4","26415.76","1994","11055.789","0","24","0","20437.43667","670.8333333","104.6666667","0.418530037","56168","1693"
"1021","COLD","ST","TEKGEAR","3","10882.02","913","5014.908","0","24","0","9450.766667","317.5","64.16666667","0.460843483","28562","901"
"1022","COLD","SM","APT 9","4","14195.21","854","5096.934","0","24","0","16722.3","419.6666667","83.83333333","0.359060134","37154","855"
"1022","COLD","SM","CHAPS","2","14179.96","572","3159.4","0","24","0","15699.91667","297","52","0.222807399","37882","578"
"1022","COLD","SM","CROFT & BARROW","7.5","45699.51","3289","19447.83","0","24","0","44968.36333","1268.166667","172.5","0.42555883","104324","3062"
"1022","COLD","SM","GLORIA VANDERBILT","1.5","8673.77","396","3106.87","0","24","0","8361.708333","199","31.16666667","0.358191421","16529.13","387"
"1022","COLD","SM","JENNIFER LOPEZ","2","5267.77","238","2292.112","Exit","24","0","9127.533333","164.6666667","36.5","0.435119984","15936","278"
"1022","COLD","SM","LEE","1","1770.72","124","-512.78","0","24","0","2553.806667","76.5","9","-0.289588416","2474.45","55"
"1022","COLD","SM","SONOMA","4","23506.89","1798","9357.933","0","24","0","20071.105","610","101.6666667","0.398093197","55354","1615"
"1022","COLD","SM","TEKGEAR","3","9648.69","779","4557.416","0","24","0","7596.2","249.3333333","55.16666667","0.472335208","25264","789"
"1023","COLD","LG","APT 9","5","25050.67","1500","9008.978","0","33","1.5","35957.2","851","140.5","0.359630221","67548","1527"
"1023","COLD","LG","CHAPS","3","13834.25","619","2035.26","0","33","1.5","21249.33333","399.8333333","55.83333333","0.14711748","36083","573"
"1023","COLD","LG","CROFT & BARROW","9","41200.76","3064","17548.906","0","33","1.5","54850.445","1692.833333","205.5","0.425936463","133546","4082"
"1023","COLD","LG","GLORIA VANDERBILT","2","8289.48","440","1780","0","33","1.5","13972.4","349.3333333","39.33333333","0.214729995","18085.6","410"
"1023","COLD","LG","JENNIFER LOPEZ","3","13037.38","570","6207.441","0","33","1.5","17852.86667","326.6666667","56.16666667","0.476126415","36530","648"
"1023","COLD","LG","LEE","1.5","7857.77","322","2124.28","0","33","1.5","11182.50833","267","26.83333333","0.270341331","12041.87","265"
"1023","COLD","LG","SONOMA","5","22292.13","1984","7238.344","0","33","1.5","33067.5","1062.333333","126.5","0.32470401","69284","2213"
