Store,Climate,VSG,Future Space,Entry Space
,,,(Total Space to Fill),(Total Space to Hold)
7,COLD,ST,41,2
8,COLD,ST,33,2
9,COLD,ST,33,2
10,COLD,LG,33,2
11,COLD,ST,33,0
14,COLD,ST,33,2
17,COLD,ST,33,2
18,COLD,ST,41,5
19,COLD,SM,33,0
25,COLD,ST,33,2
31,COLD,ST,33,2
32,COLD,LO,33,3
33,COLD,ST,33,2
34,COLD,LO,33,3
35,COLD,ST,33,0
37,COLD,ST,33,0
39,COLD,ST,33,6
41,COLD,ST,41,5
43,COLD,ST,33,1.5
48,COLD,ST,33,2
49,COLD,ST,33,0
52,COLD,ST,24,2
54,COLD,ST,41,5
55,COLD,ST,33,2
57,COLD,ST,33,0
59,COLD,SM,33,0
60,COLD,ST,33,2
62,COLD,ST,41,2
63,COLD,LG,33,2
64,COLD,ST,33,2
65,COLD,ST,33,2
66,COLD,ST,33,0
67,COLD,ST,33,0
68,COLD,ST,33,0
70,COLD,ST,33,0
71,COLD,SM,33,1.5
72,COLD,ST,33,3
73,COLD,ST,33,2
75,COLD,SM,33,2
77,COLD,LG,33,0
79,COLD,ST,33,0
82,COLD,ST,33,0
83,COLD,ST,33,2
84,COLD,ST,24,0
86,COLD,ST,41,5
89,COLD,ST,33,0
91,COLD,ST,33,2
95,COLD,ST,33,1.5
96,COLD,ST,33,2
97,COLD,ST,41,2
99,COLD,ST,41,5
101,COLD,ST,33,2
102,COLD,ST,41,5
103,COLD,ST,33,2
104,COLD,ST,41,4.5
105,COLD,ST,41,2
106,COLD,ST,33,0
107,COLD,ST,33,2
108,COLD,ST,41,5
109,COLD,ST,33,3
110,COLD,ST,33,0
111,COLD,ST,33,0
112,COLD,ST,33,2
113,COLD,ST,33,0
114,COLD,ST,41,2
115,COLD,ST,24,0
117,COLD,ST,33,0
118,COLD,ST,41,5
119,COLD,ST,33,0
121,COLD,ST,33,0
123,COLD,ST,33,3
125,COLD,ST,24,0
126,COLD,ST,33,0
127,COLD,ST,41,2
129,COLD,ST,33,0
130,COLD,ST,33,2
132,COLD,ST,33,0
134,COLD,ST,33,2
136,COLD,LO,33,0
138,COLD,ST,33,0
139,COLD,SM,33,0
140,COLD,ST,41,5
141,COLD,ST,33,5
142,COLD,ST,33,3
143,COLD,ST,24,0
147,COLD,ST,41,5
148,COLD,ST,33,2
149,COLD,ST,33,0
153,COLD,ST,33,0
154,COLD,ST,33,0
155,COLD,ST,33,2
156,COLD,ST,33,0
158,COLD,ST,33,2
159,COLD,ST,33,2
160,COLD,ST,33,0
161,COLD,ST,33,2
162,COLD,ST,33,0
163,COLD,LO,24,0
165,COLD,ST,24,0
166,COLD,ST,33,2
167,COLD,ST,33,0
168,COLD,ST,33,0
169,COLD,ST,33,0
170,COLD,ST,41,0
171,COLD,ST,33,2
172,COLD,ST,41,0
173,COLD,ST,41,5
174,COLD,ST,33,2
175,COLD,ST,33,2
176,COLD,LG,41,2
177,COLD,ST,33,0
178,COLD,ST,33,2
179,COLD,ST,33,2
180,COLD,ST,24,0
182,COLD,ST,33,0
183,COLD,ST,24,0
184,COLD,ST,33,2
185,COLD,SM,24,0
186,COLD,ST,24,0
187,COLD,ST,41,5
188,COLD,ST,33,2
189,COLD,ST,33,2
190,COLD,ST,33,3
191,COLD,ST,33,1.5
192,COLD,ST,33,0
193,COLD,ST,33,0
195,COLD,ST,33,0
196,COLD,ST,41,0
197,COLD,ST,24,0
198,COLD,ST,33,2
200,COLD,ST,33,3
201,COLD,ST,33,0
202,COLD,LG,33,5
204,COLD,ST,33,2
205,COLD,ST,33,0
206,COLD,ST,33,2
207,COLD,ST,33,2
208,COLD,ST,41,2
209,COLD,ST,33,0
210,COLD,ST,33,0
211,COLD,ST,33,0
212,COLD,ST,33,2
213,COLD,ST,33,5
214,COLD,ST,24,0
215,COLD,ST,33,0
216,COLD,ST,33,0
217,COLD,ST,33,0
218,COLD,ST,33,0
219,COLD,SM,41,5
220,COLD,ST,33,0
221,COLD,LG,41,5
222,COLD,ST,33,2
223,COLD,SM,41,5
224,COLD,SM,33,2
225,COLD,ST,33,0
226,COLD,ST,33,2
227,COLD,ST,33,2
228,COLD,ST,33,1.5
229,COLD,ST,33,2
230,COLD,ST,41,1.5
231,COLD,ST,33,0
232,COLD,ST,33,2
233,COLD,LG,33,0
234,COLD,ST,33,2
235,COLD,ST,33,2
236,COLD,ST,33,2
237,COLD,ST,33,2
238,COLD,ST,33,2
239,COLD,ST,41,5
240,COLD,ST,33,2
241,COLD,ST,33,0
242,COLD,LG,33,5
243,COLD,ST,33,0
244,COLD,ST,33,2
245,COLD,ST,33,2
246,COLD,ST,33,0
247,COLD,ST,33,0
248,COLD,ST,33,3
249,COLD,ST,33,1.5
251,COLD,LG,33,0
252,COLD,ST,24,2
253,COLD,SM,41,2
254,COLD,ST,33,0
255,COLD,ST,24,0
256,COLD,ST,33,0
257,COLD,ST,33,3
258,COLD,ST,24,0
259,COLD,ST,33,0
260,COLD,ST,24,0
261,COLD,ST,33,0
262,COLD,ST,41,2
263,COLD,ST,33,1.5
264,COLD,ST,41,5
265,COLD,ST,33,0
266,COLD,ST,33,0
267,COLD,ST,33,0
268,COLD,LG,41,5
269,COLD,ST,33,0
270,COLD,ST,33,2
271,COLD,SM,33,2
272,COLD,ST,41,2
273,COLD,ST,33,2
274,COLD,ST,33,0
