Store,APT 9,,,,,,,,,CHAPS,,,,,,,,,CROFT & BARROW,,,,,,,,,GLORIA VANDERBILT,,,,,,,,,JENNIFER LOPEZ,,,,,,,,,LEE,,,,,,,,,SONOMA,,,,,,,,,TEKGEAR,,,,,,,,
,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH
7,43756.29,59730.2,122998,2469,1439.833333,2771,17175.966,0.392537073,158.6666667,26036.14,54896.36667,73189,1158,1018,1109,4105.28,0.157676215,70.66666667,84158.67,107102.815,226540,6129,3153.333333,6341,34273.928,0.407253679,258.8333333,21167.12,18402.34333,48597.75,925,447.1666667,1125,7877.94,0.372178171,39.83333333,11189.3,23500.73333,37588,472,430,655,5546.437,0.495691151,52.5,10656.58,11433.14167,17605.03,421,277,397,2746.35,0.257714013,25,53794.69,60950.98167,154576,3928,1834.833333,4388,21631.172,0.402106081,148.1666667,20755.31,25117.66667,55640,1660,804.5,1617,9146.07,0.440661691,99.66666667
8,32530.35,47199.5,97524,1882,1065.666667,2180,11848.784,0.364237827,140.8333333,17586.48,38471.83333,52479,862,713.1666667,787,1392.43,0.079176163,68.33333333,69329.84,76836.88833,206792,4974,2179.333333,6001,29603.82,0.426999687,225,13063.36,16108.79,31837.63,563,375.3333333,737,5134.35,0.393034411,38,10962.48,25917.1,42912,444,460.3333333,757,5469.324,0.49891302,59.16666667,6890.87,10628.51333,14149.78,280,251.8333333,322,1632.39,0.236891713,21.83333333,39127.38,51015.38833,110616,2960,1557.5,3157,15166.207,0.387611105,135.8333333,20138.69,25384.16667,66178,1696,814.8333333,2025,8812.677,0.437599318,82.5
9,19295.74,28996.8,58606,1203,741,1342,6633.707,0.343791272,125.6666667,14663.1,33008.95,44894,678,619.6666667,678,1652.3,0.112684221,68,53569.81,64397.56667,129396,4113,1964.333333,3766,21646.218,0.404074944,234.3333333,9688.71,11807.79167,21253.08,449,304.3333333,492,3214.94,0.331823328,37.33333333,6804.07,13568.03333,22800,324,268.1666667,404,2961.721,0.435286674,49,6871.58,7728.995,8722.01,295,197.3333333,199,1509.59,0.219686011,21.83333333,25356.12,32696.63333,66704,2121,1049.666667,1948,9087.911,0.358410948,135,9524.8,10948.7,28508,810,362.5,877,4339.962,0.455648623,71.83333333
10,32945.22,35013.93333,84136,1933,838,1878,12722.859,0.386182244,133.5,20381.34,38685.65,49174,1004,712.5,746,1283.09,0.062954153,66.5,89958.93,82177.89667,202374,6866,2412.166667,5746,36035,0.400571683,228.3333333,15508.95,13568.63,33358.26,710,323,774,5375.49,0.34660567,37.33333333,14646.37,19395.96667,39976,594,350.3333333,705,7418.786,0.506527283,59.16666667,7687.05,7116.208333,10398.62,324,169.5,238,1740.33,0.226397643,23,44068.97,39278.93667,103658,3435,1202,3046,17268.467,0.391850933,130.6666667,18240.05,15306.76667,46176,1575,515,1417,7903.59,0.433309667,76.33333333
11,42225.48,46109.7,109430,2395,1048.333333,2411,16200.162,0.383658445,146.3333333,19298.43,30560.31667,47144,834,543.3333333,712,3237.18,0.167743179,66,67182.91,74005.10667,174760,5037,2191.833333,5180,26851.312,0.399674739,226.1666667,19686.47,20037.36,47398,894,475.3333333,1100,6834.73,0.347179052,37.16666667,12144.13,22729.6,42758,487,402.5,755,6329.27,0.521179368,58.33333333,10607.51,11450.605,17594.01,436,273.6666667,399,2495.24,0.235233339,21.5,43017.55,52311.66667,123164,3336,1537.666667,3520,16783.739,0.390160272,134.5,17190.68,21745.1,45212,1576,738,1380,6998.442,0.407106758,79.16666667
14,19352.08,28986.53333,59270,1173,737.8333333,1340,7016.345,0.362562836,125.3333333,17664.76,21513.75,42237,702,426.6666667,653,4116.1,0.23301194,61.5,58821.16,62332.48833,138750,4298,1889.333333,3918,24793.301,0.421503095,236.1666667,16290.95,14645.24167,35283.83,740,361.5,817,5694.21,0.349532102,39.16666667,5335.54,15019.46667,22894,270,291.1666667,407,2164.963,0.405762678,45.66666667,13984.55,11852.12167,22710.78,562,288.5,522,3512.08,0.251140008,20.83333333,25619.18,27745.07833,70348,2005,909.3333333,2108,10102.591,0.394337016,128,11734.82,14106.36667,35988,971,463.6666667,1106,5264.523,0.448624095,77.33333333
17,26240.07,31454.6,76772,1509,742.3333333,1732,10103.527,0.385041923,124.8333333,12784.5,21830.55,31831,552,396.6666667,487,2267.89,0.177393719,60.83333333,49537.6,58639.46667,139286,3686,1717,3934,20056.909,0.404882534,222.8333333,12152.16,12891.29333,25053.17,525,311.6666667,583,4737.9,0.389881305,33.83333333,11640.6,17764,34624,470,316.1666667,612,6042.554,0.519093002,55.16666667,6609.25,7681.9,11030.51,278,184.6666667,249,1427.99,0.216059311,23.16666667,37268.05,36465.09833,96350,2769,1123.333333,2873,15204.301,0.407971466,128.1666667,12390.79,12168.5,32618,1060,428.1666667,1001,5591.666,0.451275988,71.33333333
18,32698.71,37896.6,79490,1980,922,1740,10926.218,0.334148289,144.3333333,23006,35073.43333,53661,1030,673.5,827,3534.03,0.153613405,68.83333333,74660.49,64043.19167,166640,5462,1869.333333,4605,30504.029,0.408569901,244.6666667,17545.21,13489.87333,39839.73,789,333.5,927,6513.24,0.371226107,36,7290.97,18034,27292,353,356.5,479,3083.126,0.422869111,54.66666667,12317.73,10722.92,18282.83,502,259.1666667,417,2862.74,0.232408082,22.16666667,44444.56,41293.22667,106058,3419,1319.5,3211,18391.992,0.413818744,141.6666667,22863.51,26327.9,77258,1806,789.3333333,2248,10460.463,0.457517809,97.33333333
19,11962.78,20127.8,43412,742,487.5,1007,4065.389,0.339836476,99.5,7810.67,15806.11667,24534,363,300.5,374,971.1,0.124329923,47.66666667,30715.53,41726.16167,81724,2359,1213.833333,2359,12187.714,0.396793218,201.3333333,6594.32,9725.036667,14555.63,319,235.8333333,337,2005.07,0.304060161,33.16666667,3818.82,10075.9,17938,188,184,315,1618.66,0.423863916,40,3872.96,7000.253333,6148.61,192,179.3333333,139,476.96,0.123151285,22.16666667,15618.8,21336.93,45700,1328,672.1666667,1283,5154.349,0.330009284,115.3333333,7844.21,10853.73333,28852,665,352.6666667,894,3515.395,0.448151567,71.33333333
25,23388.91,31300.9,61546,1299,747.3333333,1403,9703.014,0.414855331,120.8333333,24164.01,37597.35,51269,949,683.5,773,5891.49,0.243812596,69.5,45007.27,66168.33333,106944,3412,1908.333333,3073,18425.014,0.409378618,226.3333333,11150.41,11520.24167,20878.15,496,283.8333333,485,3965.67,0.355652393,35,7212.58,15633.06667,23824,309,288.6666667,420,3497.344,0.484895003,48.5,6578.61,8613.103333,8493.09,285,220.1666667,191,1476.62,0.22445775,22.5,34069.96,42399.47167,87868.8,2624,1300.666667,2535,13675.434,0.401392723,140.1666667,11167.07,19727.2,39616,947,655.5,1232,5239.524,0.469194157,76.66666667
