Store,Climate,VSG,Product,Store_Group,Space,Sales,Scaled_Alpha_Sales,Scaled_Shift_Sales,Scaled_Beta_Sales,Scaled_BP_Sales,Units,Scaled_Alpha_Units,Scaled_Shift_Units,Scaled_Beta_Units,Scaled_BP_Units,Profit,Scaled_Alpha_Profit,Scaled_Shift_Profit,Scaled_Beta_Profit,Scaled_BP_Profit,Lower_Limit,Upper_Limit,Recommended_Space
10,COLD,ST,CAPRIS,COLD-NA,0.544818113,229.36,355.0911414,0,0.587910854,0,10,16.40987338,0,0.63460875,0,118.588,173.7235396,0,0.544890925,0,0,2.75,0.544818113
10,COLD,ST,CAREER LONG BTMS,COLD-High,2.164608609,2022.5,2456.659416,0,1.602345881,0,87,108.1546384,0,1.672545197,0,979.836,1172.579356,0,1.556706631,1.54899568,1,4.25,2.164608609
10,COLD,ST,DENIM LONG BTMS,COLD-High,1.007293115,862.73,1345.44784,0,1.097633859,0,40,62.54877663,0,1.101571672,0,319.708,557.5412777,0,1.266930408,0,0,4,1.007293115
10,COLD,ST,DRESSES,COLD-Low,1.016317017,839.5,839.5,0,0,0,37,37,0,0,0,408.717,408.717,0.162203826,0.103,0.162203826,0.5,4.5,1.016317017
10,COLD,ST,JACKETS,COLD-Low,0.637313113,587.56,603.1729418,0,0.286055207,0,22,22.8915664,0,0.308664699,0,209.564,212.0682283,0,0.253121695,0,0,1.5,0.637313113
10,COLD,ST,KNIT BOTTOMS,COLD-High,10.20941767,403.76,532.0761453,2.0889,6.928242024,8.363497518,42,57.38896302,2.629533179,6.8452,8.027416306,155.95,208.1856702,1.3561,7.710980893,8.363497518,6.75,14.75,10.20941767
10,COLD,ST,KNIT TOPS,COLD-High,10.20941767,8653.09,10698.36242,0,7.810694904,5.28571923,820,967.147067,0,7.129510689,5.159899006,4477.35,5415.127606,0,7.495543766,5.232266979,6.75,20.25,10.20941767
10,COLD,ST,SKIRTS,COLD-High,3.309516237,677.68,680.6387,0.760557933,0.8938,1.873772432,36,36.14200841,0.735443281,0.8926,1.700901484,419.604,421.2033559,0.763,0.879764571,1.892931247,1.25,6,3.309516237
10,COLD,ST,SWEATERS,COLD-High,3.309516237,3480.73,3480.738837,1.364943368,0.4133,1.775021222,189,189.0010488,1.35925594,0.4293,1.764286143,1687.742,1687.742658,0.934950904,0.468,1.41749503,1.25,6,3.309516237
10,COLD,ST,WOVEN TOPS,COLD-High,4.800716122,4641.96,5677.335144,0.427924345,3.2792,2.387899309,307,366.5026853,0.489088654,3.0859,2.367127033,2444.63,3053.036274,0.464430954,3.3782,2.451044037,1.5,7.5,4.800716122
1002,COLD,ST,CAPRIS,MILD-NA,0.559733457,350.63,767.7466568,0,0.920870891,0,14,27.51217356,0,0.812968461,0,194.01,413.647394,0,0.893408218,0,0,2.75,0.559733457
1002,COLD,ST,CAREER LONG BTMS,MILD-NA,2.372954515,841.1,1764.440793,0.1663,3.457302311,1.204926192,36,72.77085798,0.1663,3.312403088,1.204926192,411.325,889.1267035,0.1663,3.577730155,1.204926192,1,4.5,2.372954515
1002,COLD,ST,DENIM LONG BTMS,MILD-NA,1.494724838,394.41,446.5074847,0,0.952738484,0,17,18.49026894,0,0.85548265,0,163.167,216.5981379,0,1.290287702,0,0.25,4.25,1.494724838
1002,COLD,ST,DRESSES,MILD-NA,0.939721522,878.67,1213.471133,0,0.862471982,0,31,45.88823601,0,0.953680144,0,519.439,698.220121,0,0.827386865,0,0.5,4.5,0.939721522
1002,COLD,ST,JACKETS,MILD-NA,0.742632277,778,1061.83279,0,0.66946561,0,25,35.33972625,0,0.705604379,0,336.194,443.1082479,0,0.633760301,0,0,1.5,0.742632277
1002,COLD,ST,KNIT BOTTOMS,MILD-NA,10.96131548,140.62,394.8057929,3.9201,15.22893772,7.567101324,13,38.1316117,4.1268,15.49109652,7.567101324,66.072,173.6914039,3.8199,14.38596056,7.567101324,7,15.25,10.96131548
