"Store","Climate","VSG","Product","Space","Sales","Units","Profit","Recommended_Space","Estimated_Sales","Estimated_Profit","Estimated_Units","Lower_Limit","Upper_Limit"
10,"COLD","ST","CAPRIS",0.544818113,229.36,10,118.588,0.544818113,229.359999880185,118.588000000711,10.0000000018093,0,2.75
10,"COLD","ST","CAREER LONG BTMS",2.164608609,2022.5,87,979.836,2.164608609,2022.50000016944,979.836000142523,86.9999999743703,1,4.25
10,"COLD","ST","DENIM LONG BTMS",1.007293115,862.73,40,319.708,1.007293115,862.73000014567,319.707999979621,40.0000000109206,0,4
10,"COLD","ST","DRESSES",1.016317017,839.5,37,408.717,1.016317017,839.5,408.717,37,0.5,4.5
10,"COLD","ST","JACKETS",0.637313113,587.56,22,209.564,0.637313113,587.559999994435,209.564000011781,22.0000000055776,0,1.5
10,"COLD","ST","KNIT BOTTOMS",10.20941767,403.76,42,155.95,10.20941767,403.759999975068,155.949999977043,42.0000000008527,6.75,14.75
10,"COLD","ST","KNIT TOPS",10.20941767,8653.09,820,4477.35,10.20941767,8653.08999665842,4477.35000016122,819.999999997853,6.75,20.25
10,"COLD","ST","SKIRTS",3.309516237,677.68,36,419.604,3.309516237,677.679999966872,419.604000019591,35.9999999964802,1.25,6
10,"COLD","ST","SWEATERS",3.309516237,3480.73,189,1687.742,3.309516237,3480.73000020861,1687.7420000657,189.000000039425,1.25,6
10,"COLD","ST","WOVEN TOPS",4.800716122,4641.96,307,2444.63,4.800716122,4641.95999939542,2444.62999985358,306.999999979172,1.5,7.5
1002,"COLD","ST","CAPRIS",0.559733457,350.63,14,194.01,0.559733457,350.62999995267,194.009999888076,14.0000000020233,0,2.75
1002,"COLD","ST","CAREER LONG BTMS",2.372954515,841.1,36,411.325,2.372954515,841.099999856267,411.325000008468,36.0000000031065,1,4.5
1002,"COLD","ST","DENIM LONG BTMS",1.494724838,394.41,17,163.167,1.494724838,394.409999980214,163.167000066284,16.9999999949314,0.25,4.25
1002,"COLD","ST","DRESSES",0.939721522,878.67,31,519.439,0.939721522,878.670000491665,519.439000058796,31.0000000093738,0.5,4.5
1002,"COLD","ST","JACKETS",0.742632277,778,25,336.194,0.742632277,777.999999409071,336.193999973528,25.0000000092067,0,1.5
1002,"COLD","ST","KNIT BOTTOMS",10.96131548,140.62,13,66.072,10.96131548,140.619999987182,66.0719999918987,12.999999995996,7,15.25
1002,"COLD","ST","KNIT TOPS",10.96131548,4165.26,364,2287.893,10.96131548,4165.25999964604,2287.89300027354,364.000000003049,7,20.25
1002,"COLD","ST","SKIRTS",3.37732131,727.07,33,484.713,3.37732131,727.069999969481,484.712999991302,33.0000000044732,1.25,6
1002,"COLD","ST","SWEATERS",3.37732131,1520.71,69,892.107,3.37732131,1520.70999975392,892.106999706169,68.9999999933115,1.25,6
1002,"COLD","ST","WOVEN TOPS",3.331596605,1935.53,121,1115.174,3.331596605,1935.53000031641,1115.17399996588,120.999999975832,1.5,7.75
1003,"COLD","ST","CAPRIS",0.666919625,245.08,9,146.064,0.666919625,245.079999989284,146.064000014144,8.99999999726238,0,2.75
1003,"COLD","ST","CAREER LONG BTMS",2.156111918,1119.9,44,597.269,2.156111918,1119.90000007064,597.268999802723,43.9999999958831,1,4.5
1003,"COLD","ST","DENIM LONG BTMS",1.126701861,1097.69,42,513.229,1.126701861,1097.68999992257,513.228999951562,42.0000000024151,0.25,4.25
1003,"COLD","ST","DRESSES",1.00744094,1261.9,46,732.23,1.00744094,1261.90000004444,732.229999804346,45.9999999943206,0.5,4.5
1003,"COLD","ST","JACKETS",0.513135806,872.99,25,422.916,0.513135806,872.990000418121,422.915999810428,24.9999999881452,0,1.75
1003,"COLD","ST","KNIT BOTTOMS",11.49455589,549.44,49,259.551,11.49455589,549.439999952139,259.550999994973,49.0000000014096,7,15.25
