Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
7,NONE,ST,CHILDRENS ATHLETIC,64.67266187,118418.5,118418.5,118418.5,0,500,0,0,0,0,0,0,0
8,NONE,ST,CHILDRENS ATHLETIC,89.57142857,119891,119891,119891,0,500,0,0,0,0,0,0,0
9,NONE,ST,CHILDRENS ATHLETIC,95.44072165,132440,132440,132440,0,500,0,0,0,0,0,0,0
10,NONE,ST,CHILDRENS ATHLETIC,80.44198895,169121,169121,169121,0,500,0,0,0,0,0,0,0
11,NONE,ST,CHILDRENS ATHLETIC,91.38461538,137471,137471,137471,0,500,0,0,0,0,0,0,0
14,NONE,ST,CHILDRENS ATHLETIC,85.47486034,107783,107783,107783,0,500,0,0,0,0,0,0,0
17,NONE,ST,CHILDRENS ATHLETIC,90.8,117591,117591,117591,0,500,0,0,0,0,0,0,0
18,NONE,ST,CHILDRENS ATHLETIC,99.75728155,128367,128367,128367,0,500,0,0,0,0,0,0,0
19,NONE,ST,CHILDRENS ATHLETIC,63.14285714,81366,81366,81366,0,500,0,0,0,0,0,0,0
25,NONE,ST,CHILDRENS ATHLETIC,95.76612903,94774,94774,94774,0,500,0,0,0,0,0,0,0
31,NONE,ST,CHILDRENS ATHLETIC,89.09547739,66093.5,66093.5,66093.5,0,500,0,0,0,0,0,0,0
32,NONE,ST,CHILDRENS ATHLETIC,93.575,109882.5,109882.5,109882.5,0,500,0,0,0,0,0,0,0
33,NONE,ST,CHILDRENS ATHLETIC,90.69230769,70702.5,70702.5,70702.5,0,500,0,0,0,0,0,0,0
34,NONE,ST,CHILDRENS ATHLETIC,94.12702703,119456.5,119456.5,119456.5,0,500,0,0,0,0,0,0,0
35,NONE,ST,CHILDRENS ATHLETIC,89.09547739,58242,58242,58242,0,500,0,0,0,0,0,0,0
37,NONE,ST,CHILDRENS ATHLETIC,99.47643979,118533.5,118533.5,118533.5,0,500,0,0,0,0,0,0,0
39,NONE,ST,CHILDRENS ATHLETIC,85,151673.5,151673.5,151673.5,0,500,0,0,0,0,0,0,0
41,NONE,ST,CHILDRENS ATHLETIC,94.75515464,117365,117365,117365,0,500,0,0,0,0,0,0,0
43,NONE,ST,CHILDRENS ATHLETIC,70.59756098,118646.5,118646.5,118646.5,0,500,0,0,0,0,0,0,0
48,NONE,ST,CHILDRENS ATHLETIC,79.81176471,130407,130407,130407,0,500,0,0,0,0,0,0,0
49,NONE,ST,CHILDRENS ATHLETIC,89.36065574,141099,141099,141099,0,500,0,0,0,0,0,0,0
52,NONE,ST,CHILDRENS ATHLETIC,65.23897059,119485.5,119485.5,119485.5,0,500,0,0,0,0,0,0,0
54,NONE,ST,CHILDRENS ATHLETIC,94.76130653,108607.5,108607.5,108607.5,0,500,0,0,0,0,0,0,0
55,NONE,ST,CHILDRENS ATHLETIC,80.70588235,179760,179760,179760,0,500,0,0,0,0,0,0,0
57,NONE,ST,CHILDRENS ATHLETIC,70.49358974,121894,121894,121894,0,500,0,0,0,0,0,0,0
59,NONE,ST,CHILDRENS ATHLETIC,74.76993865,81920,81920,81920,0,500,0,0,0,0,0,0,0
60,NONE,ST,CHILDRENS ATHLETIC,100.201005,110725,110725,110725,0,500,0,0,0,0,0,0,0
62,NONE,ST,CHILDRENS ATHLETIC,70.7875,162459,162459,162459,0,500,0,0,0,0,0,0,0
63,NONE,ST,CHILDRENS ATHLETIC,100.2564103,118427,118427,118427,0,500,0,0,0,0,0,0,0
64,NONE,ST,CHILDRENS ATHLETIC,84.49459459,149929,149929,149929,0,500,0,0,0,0,0,0,0
65,NONE,ST,CHILDRENS ATHLETIC,79.91011236,137083.5,137083.5,137083.5,0,500,0,0,0,0,0,0,0
66,NONE,ST,CHILDRENS ATHLETIC,79.95321637,109705,109705,109705,0,500,0,0,0,0,0,0,0
67,NONE,ST,CHILDRENS ATHLETIC,75.17964072,102341,102341,102341,0,500,0,0,0,0,0,0,0
68,NONE,ST,CHILDRENS ATHLETIC,75.140625,119588.5,119588.5,119588.5,0,500,0,0,0,0,0,0,0
70,NONE,ST,CHILDRENS ATHLETIC,96.19371728,81262.5,81262.5,81262.5,0,500,0,0,0,0,0,0,0
71,NONE,ST,CHILDRENS ATHLETIC,75,140610,140610,140610,0,500,0,0,0,0,0,0,0
72,NONE,ST,CHILDRENS ATHLETIC,90,138026.5,138026.5,138026.5,0,500,0,0,0,0,0,0,0
73,NONE,ST,CHILDRENS ATHLETIC,79.90532544,139666.5,139666.5,139666.5,0,500,0,0,0,0,0,0,0
75,NONE,ST,CHILDRENS ATHLETIC,74.390625,82300.5,82300.5,82300.5,0,500,0,0,0,0,0,0,0
77,NONE,ST,CHILDRENS ATHLETIC,84.60233918,83839,83839,83839,0,500,0,0,0,0,0,0,0
79,NONE,ST,CHILDRENS ATHLETIC,84.33888889,96024.5,96024.5,96024.5,0,500,0,0,0,0,0,0,0
82,NONE,ST,CHILDRENS ATHLETIC,74.67987805,118986,118986,118986,0,500,0,0,0,0,0,0,0
83,NONE,ST,CHILDRENS ATHLETIC,69.9527027,84743,84743,84743,0,500,0,0,0,0,0,0,0
84,NONE,ST,CHILDRENS ATHLETIC,69.47260274,81964,81964,81964,0,500,0,0,0,0,0,0,0
86,NONE,ST,CHILDRENS ATHLETIC,90.65363128,206909.5,206909.5,206909.5,0,500,0,0,0,0,0,0,0
89,NONE,ST,CHILDRENS ATHLETIC,85.22849462,113522,113522,113522,0,500,0,0,0,0,0,0,0
91,NONE,ST,CHILDRENS ATHLETIC,85.53125,93158.5,93158.5,93158.5,0,500,0,0,0,0,0,0,0
95,NONE,ST,CHILDRENS ATHLETIC,75.22590361,67808,67808,67808,0,500,0,0,0,0,0,0,0
96,NONE,ST,CHILDRENS ATHLETIC,95.35185185,128568.5,128568.5,128568.5,0,500,0,0,0,0,0,0,0
97,NONE,ST,CHILDRENS ATHLETIC,99.6,210307.5,210307.5,210307.5,0,500,0,0,0,0,0,0,0
99,NONE,ST,CHILDRENS ATHLETIC,104.7523585,230514,230514,230514,0,500,0,0,0,0,0,0,0
101,NONE,ST,CHILDRENS ATHLETIC,104.2640187,132823.5,132823.5,132823.5,0,500,0,0,0,0,0,0,0
102,NONE,ST,CHILDRENS ATHLETIC,75.04573171,137541.5,137541.5,137541.5,0,500,0,0,0,0,0,0,0
103,NONE,ST,CHILDRENS ATHLETIC,69.95512821,120486.5,120486.5,120486.5,0,500,0,0,0,0,0,0,0
104,NONE,ST,CHILDRENS ATHLETIC,66.16071429,77041,77041,77041,0,500,0,0,0,0,0,0,0
105,NONE,ST,CHILDRENS ATHLETIC,90.23195876,153267,153267,153267,0,500,0,0,0,0,0,0,0
106,NONE,ST,CHILDRENS ATHLETIC,81.21637427,106827.5,106827.5,106827.5,0,500,0,0,0,0,0,0,0
107,NONE,ST,CHILDRENS ATHLETIC,79.52662722,70828.5,70828.5,70828.5,0,500,0,0,0,0,0,0,0
108,NONE,ST,CHILDRENS ATHLETIC,79.80487805,70842.5,70842.5,70842.5,0,500,0,0,0,0,0,0,0
109,NONE,ST,CHILDRENS ATHLETIC,80.32941176,135178.5,135178.5,135178.5,0,500,0,0,0,0,0,0,0
110,NONE,ST,CHILDRENS ATHLETIC,80,107621.5,107621.5,107621.5,0,500,0,0,0,0,0,0,0
111,NONE,ST,CHILDRENS ATHLETIC,75.23291925,117990.5,117990.5,117990.5,0,500,0,0,0,0,0,0,0
112,NONE,ST,CHILDRENS ATHLETIC,85,88644,88644,88644,0,500,0,0,0,0,0,0,0
113,NONE,ST,CHILDRENS ATHLETIC,79.23353293,127005.5,127005.5,127005.5,0,500,0,0,0,0,0,0,0
114,NONE,ST,CHILDRENS ATHLETIC,100,71415,71415,71415,0,500,0,0,0,0,0,0,0
115,NONE,ST,CHILDRENS ATHLETIC,69.95172414,42906,42906,42906,0,500,0,0,0,0,0,0,0
117,NONE,ST,CHILDRENS ATHLETIC,94.5026178,89138.5,89138.5,89138.5,0,500,0,0,0,0,0,0,0
118,NONE,ST,CHILDRENS ATHLETIC,93.575,65968,65968,65968,0,500,0,0,0,0,0,0,0
119,NONE,ST,CHILDRENS ATHLETIC,95,79086,79086,79086,0,500,0,0,0,0,0,0,0
121,NONE,ST,CHILDRENS ATHLETIC,91.50810811,125696.5,125696.5,125696.5,0,500,0,0,0,0,0,0,0
123,NONE,ST,CHILDRENS ATHLETIC,90.6961326,122621.5,122621.5,122621.5,0,500,0,0,0,0,0,0,0
125,NONE,ST,CHILDRENS ATHLETIC,53.99166667,61976,61976,61976,0,500,0,0,0,0,0,0,0
126,NONE,ST,CHILDRENS ATHLETIC,76,110564,110564,110564,0,500,0,0,0,0,0,0,0
127,NONE,ST,CHILDRENS ATHLETIC,99.48453608,124156,124156,124156,0,500,0,0,0,0,0,0,0
129,NONE,ST,CHILDRENS ATHLETIC,79.46666667,137521,137521,137521,0,500,0,0,0,0,0,0,0
130,NONE,ST,CHILDRENS ATHLETIC,84.19722222,141963.5,141963.5,141963.5,0,500,0,0,0,0,0,0,0
132,NONE,ST,CHILDRENS ATHLETIC,75.0443787,114192.5,114192.5,114192.5,0,500,0,0,0,0,0,0,0
134,NONE,ST,CHILDRENS ATHLETIC,85.23743017,146139.5,146139.5,146139.5,0,500,0,0,0,0,0,0,0
136,NONE,ST,CHILDRENS ATHLETIC,70.47826087,73845,73845,73845,0,500,0,0,0,0,0,0,0
138,NONE,ST,CHILDRENS ATHLETIC,79.49132948,118042.5,118042.5,118042.5,0,500,0,0,0,0,0,0,0
139,NONE,ST,CHILDRENS ATHLETIC,84.67307692,53646,53646,53646,0,500,0,0,0,0,0,0,0
140,NONE,ST,CHILDRENS ATHLETIC,99.76076555,142717.5,142717.5,142717.5,0,500,0,0,0,0,0,0,0
