,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
0,Store,LICENSED CHARACTER - JBD,,,,,,,,,LEE DENIM,,,,,,,,,LEVI DENIM,,,,,,,,,SONOMA DENIM,,,,,,,,,NIKE,,,,,,,,,ADIDAS,,,,,,,,,JUMPING BEANS ACTIVE,,,,,,,,,CARTERS,,,,,,,,,OSHKOSH,,,,,,,,,HURLEY - HAWK,,,,,,,,,JUMPING BEANS,,,,,,,,,SONOMA,,,,,,,,,CHAPS,,,,,,,,,OUTERWEAR,,,,,,,,,SWIMWEAR,,,,,,,,
1,,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH
2,7,30163.71,35440,88888,3268,1497,4405,13721.844,0.454912343,380,7975.32,3864,19920,519,138,697,2576.32,0.323036568,21,10047.64,5670,29189.6,486,147,763,4720.36,0.469797883,25,9151.48,4394,24804,792,169,954,3211.07,0.350879858,23,19983.68,8000,57354,1045,281,2045,11627.38,0.581843785,249,5504.07,4590,18510,328,143,627,2378.17,0.43207481,82,6412.3,12108,19248,686,478,868,3300.375,0.514694415,114,9450.94,3710,31724,1112,173,1480,2747.75,0.290738276,132,7103.35,2170,26734,676,76,1007,1990.3,0.280191741,97,3701.92,0,13824,271,0,546,1688.67,0.456160587,76,41384.51,26536,152796,6565,1490,8673,20490.23,0.495118343,283,19899.9,12260,67064,2374,613,3172,9293.913,0.467033151,182,8463.07,4449,28152.4,615,137,873,2175.02,0.257001301,83,5850.17,-14,20760,176,0,256,2851.21,0.487372162,31,2260.37,0,6198,224,0,243,972.32,0.430159664,24
3,8,25361.64,36682,73146,2693,1493,3432,11391.429,0.449159794,391,5034.84,6304,9796,354,225,337,1403.34,0.278725838,18,7027.86,3984,16350.8,340,102,435,3265.87,0.464703338,21,6915.41,4888,17940,603,188,690,2404.524,0.347705198,23,13013.93,6474,33768,638,221,1115,7538.05,0.579229333,165,6182.48,4408,19802,381,143,683,2669.08,0.431716722,85,6085.44,11736,15666,636,461,701,3047.568,0.500796656,117,8834.76,4626,27502,1061,215,1288,2377.16,0.269068996,133,7970.93,2146,27318,719,76,998,2226.7,0.279352598,103,2501.8,0,10140,171,0,348,1132.6,0.452714046,59,34220.71,29732,118600,5624,1650,6780,16332.206,0.477260875,282,15657.69,12020,50858,1899,601,2399,7229.799,0.4617411,174,9476.29,4901.5,34684.6,681,155,1061,2266.66,0.239192764,90,5286.39,0,27555,169,0,335,2421.95,0.458148188,24,1819.56,0,5376,186,0,212,756.26,0.415627954,25
4,9,18589.91,26446,51333,2015,1096,2554,8487.1,0.456543361,361,4124.31,2856,10740,268,102,366,1412.82,0.342559119,18,5783.58,5946,11844.8,284,153,315,2622.31,0.453406022,21,5672.02,5200,16250,481,200,625,2051.066,0.361611207,23,24411.33,10118,60132,1211,344,2011,14257.77,0.584063629,229,6744.07,4640,17870,405,148,611,2908.02,0.431196592,83,7670.09,10110,19186,809,405,853,3861.622,0.503465018,115,7158.47,2706,21816,854,126,1036,2051.12,0.286530502,137,6610.54,2424,25910,628,88,945,1697.14,0.25673243,109,2253.41,0,10140,161,0,348,968.466,0.429777981,64,34176.6,25744,129884,5441,1426,7367,16882.626,0.493982023,298,14716.44,12440,49230,1742,622,2303,7013.571,0.476580681,172,7477.35,4068.5,26073,546,131,808,1891.24,0.252929179,85,5106.44,0,23520,172,0,292,2274.13,0.445345485,27,2073.83,0,8028,218,0,313,782.68,0.377407984,29
5,10,33277.18,44932,101106,3530,1855,4886,15194.816,0.456613691,389,7972.79,4200,19324,543,150,666,2442.29,0.306328149,25,10597.27,6690,26235.6,513,167,690,4934.24,0.465614257,29,9987.24,3848,25844,857,148,994,3548.16,0.355269324,23,30538.04,17492,75858,1536,566,2526,17835.45,0.58404043,228,11866.76,4738,32666,767,148,1191,4972.47,0.419025075,110,11294.6,13168,29586,1219,520,1369,5785.285,0.5122169,133,14332.94,6248,46536,1732,292,2163,3814.56,0.266139396,133,11560.41,4184,41568,1094,151,1508,2972.43,0.257121503,113,3049.02,0,10968,212,0,384,1281.12,0.420174351,61,55177.67,40620,188328,9058,2231,10829,26738.81,0.484594765,285,27568.63,13700,83970,3325,685,3927,12773.871,0.463348052,185,11518.92,4938,42755,874,158,1333,2558.77,0.222136277,89,7195.88,0,33310,222,0,406,3382.49,0.470059256,28,3452.19,0,11670,355,0,457,1389.24,0.40242281,29
6,11,36783.05,35044,110252,3879,1540,5296,16852.96,0.458171903,388,8851.47,6412,19472,591,229,677,2680.46,0.302826536,21,11855.67,3154,34663.6,564,81,906,5648.36,0.476426891,25,10438.48,4524,30940,930,174,1190,3440.958,0.329641672,22,24179.06,5900,50532,1229,219,1655,13897.01,0.57475394,159,2715.68,3782,9980,145,121,320,1244.98,0.458441348,61,8876.08,10880,28370,972,430,1301,4492.609,0.506147872,131,11676.71,5704,36824,1419,278,1719,3174.42,0.271859111,136,10827.16,1372,40252,1001,48,1484,3031.41,0.279982008,97,3372.82,0,10524,237,0,366,1512.47,0.448428911,58,55389.63,27508,192096,8912,1548,11014,27184.767,0.490791634,283,25957.84,11240,88682,3134,562,4199,11997.832,0.462204559,181,8539.53,5342,31026.6,646,173,976,1988.92,0.232907432,85,8315.99,0,34610,255,0,418,3976.01,0.478116256,19,2709.09,0,9048,291,0,353,1002.04,0.369880661,23
7,14,14656.39,27372,42204,1538,1148,2134,6748.536,0.460450084,357,5504.4,5628,11136,372,201,391,1580.16,0.28707216,21,6311.75,4550,13154.8,309,117,350,2880.16,0.456317186,22,7700.29,5278,19656,679,203,756,2591.042,0.336486288,26,15784.88,6546,31878,772,219,1066,9338.74,0.591625657,170,6258.87,4564,16918,363,151,581,2926.72,0.467611566,88,6750.56,8298,17112,707,334,753,3435.66,0.508944443,117,6928.67,3584,22706,836,167,1055,1801.13,0.259953209,141,7129.99,1544,23452,635,57,858,2047.26,0.287133643,105,3244.57,0,10404,227,0,360,1409.534,0.434428599,60,34099.56,24852,113580,5434,1398,6467,16911.085,0.495932645,273,15550.27,11460,48192,1831,573,2283,7495.8,0.482036646,173,6541.96,4684,20280.1,478,150,656,1694.47,0.259015647,82,4788.05,0,20040,147,0,248,2284.52,0.47712952,24,1541.81,0,5142,156,0,199,612.71,0.397396566,28
8,17,24059.5,32260,75012,2678,1412,3745,10838.802,0.450499886,386,5947.17,7364,9168,399,263,321,1763.92,0.296598214,22,9357.36,4726,26045.6,459,121,677,4327.76,0.46249797,27,7261.99,4108,19864,654,158,764,2343.63,0.322725589,22,15753.53,5542,32172,817,197,1095,9149.03,0.58076063,159,5304.87,5412,14114,341,174,497,2247.52,0.42367108,69,5470.75,9856,18430,582,388,821,2768.015,0.505966275,117,8678.72,3786,29016,1080,178,1376,2303.1,0.265373235,125,6547.87,2174,24410,615,78,887,1707.62,0.26079015,106,3519.42,30,10548,250,1,360,1443.77,0.410229526,59,37519.06,23732,132316,6127,1337,7567,18354.95,0.489216681,271,18887.47,13440,57554,2217,672,2703,8957.449,0.474253513,182,4330.58,4364,15994,325,134,511,1111.07,0.256563786,76,2530.25,0,17510,81,0,216,1161.07,0.458875605,22,1781.12,0,6332,187,0,249,703.57,0.395015496,25
9,18,18707.66,32710,49655,2069,1385,2568,8729.444,0.466624046,361,10161.54,6720,20868,677,240,729,3093.53,0.304435155,21,9136.53,6918,26549.6,433,177,694,4333.56,0.474311363,25,9280.92,9152,21762,833,352,837,3021.776,0.325590135,22,17046.4,7522,31506,831,243,1056,9979.36,0.585423315,162,6528.29,3872,16926,398,124,589,2809.14,0.430302575,79,7355.14,10396,17124,804,411,794,3709.609,0.504356001,122,7577.83,3236,23620,914,152,1119,2063.92,0.272362932,146,8684.94,2514,28752,781,88,1058,2525.69,0.290812602,102,3093.09,0,10932,215,0,378,1373.22,0.443963803,64,37618.38,25988,125612,6171,1445,7303,18399.042,0.489097138,282,16400.18,11060,57018,1961,553,2704,7789.084,0.474938934,181,6061.71,4616,20190.6,420,146,623,1693.95,0.279450848,82,5380.27,0,21525,171,0,263,2486.37,0.462127365,28,1838.41,0,5484,189,0,214,729.92,0.397038745,30
